,volatile acidity,total sulfur dioxide,density,pH,alcohol,quality_category
0,0.7,34.0,0.9978,3.51,9.4,baja
1,0.88,67.0,0.9968,3.2,9.8,baja
2,0.76,54.0,0.997,3.26,9.8,baja
3,0.28,60.0,0.998,3.16,9.8,media
4,0.7,34.0,0.9978,3.51,9.4,baja
5,0.66,40.0,0.9978,3.51,9.4,baja
6,0.6,59.0,0.9964,3.3,9.4,baja
7,0.65,21.0,0.9946,3.39,10.0,media
8,0.58,18.0,0.9968,3.36,9.5,media
9,0.5,102.0,0.9978,3.35,10.5,baja
10,0.58,65.0,0.9959,3.28,9.2,baja
11,0.5,102.0,0.9978,3.35,10.5,baja
12,0.615,59.0,0.9943,3.58,9.9,baja
13,0.61,29.0,0.9974,3.26,9.1,baja
14,0.62,145.0,0.9986,3.16,9.2,baja
15,0.62,148.0,0.9986,3.17,9.2,baja
16,0.28,103.0,0.9969,3.3,10.5,media
17,0.56,56.0,0.9968,3.11,9.3,baja
18,0.59,29.0,0.9974,3.38,9.0,baja
19,0.32,56.0,0.9969,3.04,9.2,media
20,0.22,60.0,0.9968,3.39,9.4,media
21,0.39,71.0,0.9982,3.52,9.7,baja
22,0.43,37.0,0.9966,3.17,9.5,baja
23,0.49,67.0,0.9968,3.17,9.4,baja
24,0.4,40.0,0.9968,3.43,9.7,media
25,0.39,23.0,0.9955,3.34,9.3,baja
26,0.41,11.0,0.9962,3.28,9.5,baja
27,0.43,37.0,0.9966,3.17,9.5,baja
28,0.71,35.0,0.9972,3.47,9.4,baja
29,0.645,16.0,0.9964,3.38,9.8,media
30,0.675,82.0,0.9958,3.35,10.1,baja
31,0.685,37.0,0.9966,3.46,10.6,media
32,0.655,113.0,0.9966,3.17,9.8,baja
33,0.605,83.0,0.9993,3.45,9.4,media
34,0.32,50.0,0.9957,3.38,9.2,baja
35,0.645,18.0,0.9986,3.4,9.6,media
36,0.6,15.0,0.9975,3.42,10.8,media
37,0.38,30.0,0.9968,3.23,9.7,media
38,1.13,19.0,0.994,3.5,9.8,baja
39,0.45,87.0,0.9978,3.33,10.5,baja
40,0.45,87.0,0.9978,3.33,10.5,baja
41,0.61,46.0,0.9976,3.26,9.3,baja
42,0.49,14.0,0.9968,3.21,10.5,media
43,0.66,23.0,0.9968,3.3,10.3,baja
44,0.67,11.0,0.9962,3.48,9.5,baja
45,0.52,65.0,0.9934,3.9,13.1,baja
46,0.935,114.0,0.997,3.25,9.2,baja
47,0.29,37.0,0.9969,3.25,9.5,baja
48,0.4,12.0,0.9958,3.34,9.2,baja
49,0.31,96.0,0.9954,3.32,9.2,baja
50,0.66,23.0,0.9971,3.15,9.2,baja
51,0.52,15.0,0.9956,3.4,9.4,media
52,0.5,14.0,0.9955,3.39,9.4,media
53,0.38,119.0,0.997,3.2,9.4,baja
54,0.51,73.0,0.9955,3.17,10.2,media
55,0.62,45.0,0.9978,3.34,9.5,baja
56,0.42,10.0,0.9971,3.04,9.6,baja
57,0.63,110.0,0.9983,3.26,9.4,baja
58,0.59,54.0,0.9975,3.43,10.0,baja
59,0.39,46.0,0.9962,3.41,9.4,media
60,0.4,52.0,0.998,3.44,9.2,baja
61,0.69,112.0,0.9968,3.21,9.3,baja
62,0.52,35.0,0.9968,3.38,9.5,media
63,0.735,54.0,0.9966,3.39,9.8,baja
64,0.725,11.0,0.9962,3.41,10.9,baja
65,0.725,11.0,0.9962,3.41,10.9,baja
66,0.52,39.0,0.9968,3.42,9.6,baja
67,0.705,15.0,0.9962,3.44,10.7,baja
68,0.32,65.0,0.9969,3.28,10.7,baja
69,0.705,19.0,0.9962,3.34,10.5,media
70,0.63,27.0,0.9967,3.32,9.5,media
71,0.67,96.0,0.9962,3.32,9.5,baja
72,0.69,94.0,0.9961,3.31,9.5,baja
73,0.675,43.0,0.9976,3.31,9.2,baja
74,0.32,83.0,0.9984,3.28,9.6,baja
75,0.41,42.0,0.9986,3.54,10.5,baja
76,0.41,42.0,0.9986,3.54,10.5,baja
77,0.785,30.0,0.9966,3.52,10.7,media
78,0.75,80.0,0.9958,3.38,10.1,baja
79,0.625,119.0,0.9972,3.16,9.1,baja
80,0.45,15.0,0.9958,3.41,9.2,baja
81,0.43,67.0,0.9974,3.13,9.4,baja
82,0.5,73.0,0.997,3.36,9.1,baja
83,0.67,51.0,0.9969,3.16,9.4,baja
84,0.3,61.0,0.9959,3.44,10.3,media
85,0.55,40.0,0.9961,3.41,10.1,baja
86,0.49,136.0,0.9972,2.93,9.9,media
87,0.49,31.0,0.9966,3.39,9.6,baja
88,0.39,125.0,0.9978,3.14,9.5,baja
89,0.62,24.0,0.9978,3.48,9.0,baja
90,0.52,140.0,0.9964,3.23,9.5,baja
91,0.49,136.0,0.9972,2.93,9.9,media
92,0.49,133.0,0.9972,2.93,9.8,baja
93,0.49,31.0,0.9966,3.39,9.6,baja
94,1.02,85.0,0.9938,3.75,10.5,baja
95,0.6,106.0,0.9932,3.85,12.9,media
96,0.775,23.0,0.9965,3.45,10.7,baja
97,0.5,22.0,0.9963,3.25,9.2,baja
98,0.9,10.0,0.9967,3.39,9.8,baja
99,0.545,35.0,0.9972,3.3,9.0,media
100,0.61,50.0,0.9972,3.4,10.2,media
101,0.5,22.0,0.9959,3.31,10.4,media
102,0.545,35.0,0.9972,3.3,9.0,media
103,0.575,65.0,0.9967,3.29,9.2,baja
104,0.49,36.0,0.996,3.33,9.4,baja
105,0.575,65.0,0.9967,3.29,9.2,baja
106,0.41,69.0,0.9973,3.08,9.3,baja
107,0.63,64.0,0.9969,3.46,9.3,baja
108,0.33,80.0,0.9976,3.37,9.6,media
109,0.785,153.0,0.9969,3.21,9.3,baja
110,0.56,47.0,0.9964,3.19,9.5,baja
111,0.62,108.0,0.9964,3.15,9.8,baja
112,0.6,111.0,0.9964,3.15,9.8,baja
113,0.31,46.0,0.9988,3.32,9.7,media
114,0.56,47.0,0.9964,3.19,9.5,baja
115,0.4,62.0,0.9966,3.07,10.5,media
116,0.54,40.0,0.9978,3.39,10.0,media
117,0.56,28.0,0.997,3.37,9.4,media
118,0.55,56.0,0.9962,3.21,10.9,media
119,0.69,89.0,0.9959,3.34,9.2,media
120,1.07,89.0,0.9962,3.3,9.0,baja
121,0.55,56.0,0.9962,3.21,10.9,media
122,0.695,13.0,0.998,3.49,9.2,baja
123,0.71,34.0,0.9976,3.44,9.5,baja
124,0.5,102.0,0.996,3.39,9.5,baja
125,0.62,90.0,0.9984,3.16,9.4,baja
126,1.33,12.0,0.9964,3.53,10.9,baja
127,1.33,12.0,0.9964,3.54,10.9,baja
128,0.59,16.0,0.9962,3.42,10.5,media
129,0.38,19.0,0.9955,3.42,9.4,baja
130,0.745,134.0,0.9968,3.24,9.4,baja
131,0.5,99.0,0.9937,3.63,13.0,baja
132,0.5,99.0,0.9937,3.63,13.0,baja
133,0.5,26.0,0.9952,3.4,9.8,media
134,1.04,29.0,0.9959,3.22,9.9,media
135,0.745,63.0,0.9965,3.19,9.6,baja
136,0.715,52.0,0.9968,3.23,9.5,baja
137,0.415,45.0,0.9972,3.48,9.2,baja
138,0.56,105.0,0.9962,3.33,9.5,baja
139,0.56,108.0,0.9962,3.32,9.5,baja
140,0.745,63.0,0.9965,3.19,9.6,baja
141,0.715,52.0,0.9968,3.23,9.5,baja
142,0.34,63.0,0.9916,3.68,14.0,media
143,0.39,20.0,0.9954,3.34,9.4,baja
144,0.34,63.0,0.9916,3.68,14.0,media
145,0.67,141.0,0.9968,3.17,9.4,baja
146,0.68,94.0,0.9944,3.54,10.0,baja
147,0.49,88.0,0.9968,3.11,9.3,baja
148,0.49,30.0,0.9959,3.42,10.2,media
149,0.4,43.0,0.9975,3.53,10.5,media
150,0.33,11.0,0.9958,3.33,10.3,media
151,0.52,69.0,0.9996,2.74,9.4,baja
152,0.6,99.0,0.995,3.35,10.1,baja
153,0.6,99.0,0.995,3.35,10.1,baja
154,0.43,129.0,0.9973,3.42,10.5,baja
155,0.43,128.0,0.9973,3.42,10.5,baja
156,0.43,129.0,0.9973,3.42,10.5,baja
157,0.43,128.0,0.9973,3.42,10.5,baja
158,0.68,22.0,0.9969,3.48,9.3,baja
159,0.6,86.0,0.9968,3.59,9.3,media
160,0.95,20.0,0.9959,3.2,9.6,baja
161,0.68,20.0,0.9965,3.17,9.2,baja
